type-nn fair hold-out board
===========================

Split: xorshift32 Fisher-Yates, seed 34972, 70/30. Same cut for every impl.
Board models: the three scale probes (energy, jac, mix), the Or/And
spawn they drive, and the depth probes (early / hold / born).
c-mlp is the only non-type-nn row (Linear-ReLU-Linear baseline).
or+/or- = dummy Or (×1) promoted / collapsed.
and+/and- = dummy And (product ≡ 1) promoted / collapsed.
L+/L- = identity layer insert / drop.
us/infer = mean microseconds per forward over >=200 ms wall (never 0).
hold_acc is n/a on diabetes (regression) only. XOR prints threshold acc
on all 4 points (no 70/30 cut exists).
Sorted by (hold_mse, params, train_s, mse, hold_acc asc, acc asc).

task         impl                         hold_mse  params   train_s      mse  hold_acc     acc   nbytes    us/infer  or+ or- and+ and-  L+  L-
wdbc         type-nn-scale-jac+slim-cap+s  0.04576      62   0.1051  0.01313  0.947  0.992    5904   0.000001    0   0    0    0   0   0
wdbc         type-nn-scale-jac             0.04576      62   0.1086  0.01313  0.947  0.992    5904   0.000001    0   0    0    0   0   0
wdbc         type-nn-scale-mix+slim-cap    0.04576      62   0.1093  0.01313  0.947  0.992    5904   0.000001    0   0    0    0   0   0
wdbc         type-nn-scale-jac+slim-cap    0.04576      62   0.1142  0.01313  0.947  0.992    5904   0.000001    0   0    0    0   0   0
wdbc         type-nn-scale-jac+slim-budge  0.04576      62   0.1180  0.01313  0.947  0.992    5904   0.000001    0   0    0    0   0   0
wdbc         type-nn-scale-mix+slim-prune  0.05258      21   0.0774  0.01803  0.942  0.990    3800   0.000001   11   7    0    0   0   0
wdbc         type-nn-scale-jac+slim-prune  0.05374      15   0.0669  0.01941  0.936  0.987    3272   0.000001    0   0    0    0   0   0
wdbc         c-mlp                         0.05594     513   0.2346  0.00760  0.936  0.997    4104   0.000001    0   0    0    0   0   0
wdbc         type-nn-scale-mix+slim-budge  0.06207     186   0.1883  0.00250  0.953  0.997   13040   0.000001    5   1    0    0   0   0
wdbc         type-nn-scale-energy          0.06207     186   0.1914  0.00250  0.953  0.997   13040   0.000001    5   1    0    0   0   0
wdbc         type-nn-scale-mix             0.06207     186   0.1957  0.00250  0.953  0.997   13040   0.000001    5   1    0    0   0   0
wdbc         type-nn-scale-sched-wide      0.06466      18   0.0943  0.04360  0.936  0.980    4120   0.000001   93  38   25   25   0   0
wdbc         type-nn-scale-sched           0.06511      17   0.0959  0.04366  0.936  0.977    4120   0.000001   93  38   25   25   0   0
wdbc         type-nn-winner                0.06511      17   0.1006  0.04366  0.936  0.977    4120   0.000001   93  38   25   25   0   0
wdbc         type-nn-scale-sched-tight     0.06538      18   0.0992  0.04320  0.930  0.980    4120   0.000001   75  30   21   21   0   0
wdbc         type-nn-scale-mix+slim-cap+s  0.07389       7   0.0643  0.04259  0.912  0.947    2824   0.000001    0   0    0    0   0   0
wdbc         type-nn-scale-jac+slim-k      0.07554       8   0.0621  0.03993  0.918  0.952    2880   0.000001    0   0    0    0   0   0
wdbc         type-nn-scale-mix+slim-k      0.07799      16   0.0737  0.03673  0.924  0.960    3520   0.000001    4   0    0    0   0   0

diabetes     type-nn-scale-jac             0.03111      11   0.0355  0.02780    n/a    n/a    1720   0.000001    0   1    0    0   0   0
diabetes     type-nn-scale-mix+slim-cap    0.03111      11   0.0365  0.02780    n/a    n/a    1720   0.000001    0   1    0    0   0   0
diabetes     type-nn-scale-jac+slim-budge  0.03111      11   0.0371  0.02780    n/a    n/a    1720   0.000001    0   1    0    0   0   0
diabetes     type-nn-scale-jac+slim-cap    0.03111      11   0.0376  0.02780    n/a    n/a    1720   0.000001    0   1    0    0   0   0
diabetes     type-nn-scale-jac+slim-cap+s  0.03111      11   0.0472  0.02780    n/a    n/a    1720   0.000001    0   1    0    0   0   0
diabetes     type-nn-scale-mix+depth-hold  0.03137     253   0.2199  0.02327    n/a    n/a   18352   0.000001   10   9    0    0   1   0
diabetes     type-nn-scale-jac+depth-earl  0.03153     242   0.2424  0.02380    n/a    n/a   17688   0.000001    0   0    0    0   1   0
diabetes     type-nn-scale-sched           0.03214      17   0.0711  0.02647    n/a    n/a    3808   0.000001    1   1    1    0   0   0
